"fund_month","state","term","rate","systemsize_bin","programfee_bin","total_funded_loans","total_serv_loans","delinquency_bin","loans_by_delinquency","loans_prv_delinquency","roll_rate_pct"
"202002","NV",25,"2.99","09-12","21-25","2","2","0","2",NULL,"0"
"202002","NV",25,"3.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","NV",25,"3.99","09-12","16-20","2","2","0","2",NULL,"0"
"202002","NV",25,"4.99","05-08","11-15","1","1","0","1",NULL,"0"
"202002","OH",20,"3.99","09-12","16-20","1","1","0","1",NULL,"0"
"202002","OH",25,"2.99","05-08","21-25","1","1","0","1",NULL,"0"
"202002","OK",25,"2.99","05-08","21-25","1","1","0","1",NULL,"0"
"202002","OK",25,"2.99","13+","21-25","2","2","0","2",NULL,"0"
"202002","PA",20,"4.99","09-12","11-15","2","2","0","2",NULL,"0"
"202002","PA",20,"4.99","13+","11-15","1","1","0","1",NULL,"0"
"202002","PA",25,"2.99","05-08","21-25","1","1","0","1",NULL,"0"
"202002","SC",20,"3.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","TX",10,"2.99","09-12","16-20","1","1","0","1",NULL,"0"
"202002","TX",20,"2.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","TX",20,"2.99","05-08","21-25","3","3","0","3",NULL,"0"
"202002","TX",20,"2.99","09-12","21-25","2","2","0","2",NULL,"0"
"202002","TX",20,"2.99","13+","16-20","1","1","0","1",NULL,"0"
"202002","TX",20,"2.99","13+","21-25","2","2","0","2",NULL,"0"
"202002","TX",20,"3.99","01-04","16-20","2","2","0","2",NULL,"0"
"202002","TX",20,"3.99","01-04","26+","1","1","0","1",NULL,"0"
"202002","TX",20,"3.99","05-08","16-20","6","6","0","6",NULL,"0"
"202002","TX",20,"3.99","05-08","26+","3","3","0","3",NULL,"0"
"202002","TX",20,"3.99","09-12","16-20","1","1","0","1",NULL,"0"
"202002","TX",20,"3.99","13+","16-20","3","3","0","3",NULL,"0"
"202002","TX",20,"4.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","TX",20,"4.99","09-12","26+","1","1","0","1",NULL,"0"
"202002","TX",20,"5.99","05-08","11-15","1","1","0","1",NULL,"0"
"202002","TX",20,"5.99","09-12","26+","1","1","0","1",NULL,"0"
"202002","TX",20,"5.99","13+","06-10","1","1","0","1",NULL,"0"
"202002","TX",25,"2.99","05-08","21-25","4","4","0","4",NULL,"0"
"202002","TX",25,"2.99","09-12","21-25","9","9","0","9",NULL,"0"
"202002","TX",25,"2.99","13+","21-25","6","6","0","6",NULL,"0"
"202002","TX",25,"3.99","01-04","16-20","1","1","0","1",NULL,"0"
"202002","TX",25,"3.99","05-08","16-20","4","4","0","4",NULL,"0"
"202002","TX",25,"3.99","05-08","21-25","2","2","0","2",NULL,"0"
"202002","TX",25,"3.99","09-12","16-20","1","1","0","1",NULL,"0"
"202002","TX",25,"4.49","05-08","16-20","1","1","0","1",NULL,"0"
"202002","TX",25,"4.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","TX",25,"4.99","09-12","11-15","1","1","0","1",NULL,"0"
"202002","TX",25,"4.99","13+","11-15","2","2","0","2",NULL,"0"
"202002","TX",25,"5.99","05-08","06-10","1","1","0","1",NULL,"0"
"202002","UT",20,"2.99","01-04","21-25","1","1","0","1",NULL,"0"
"202002","UT",20,"2.99","09-12","21-25","1","1","0","1",NULL,"0"
"202002","UT",20,"3.99","01-04","16-20","1","1","0","1",NULL,"0"
"202002","UT",20,"3.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","UT",25,"2.99","05-08","21-25","4","4","0","4",NULL,"0"
"202002","VA",20,"3.99","01-04","16-20","1","1","0","1",NULL,"0"
"202002","VA",20,"3.99","05-08","16-20","1","1","0","1",NULL,"0"
"202002","VA",20,"3.99","09-12","16-20","3","3","0","3",NULL,"0"
"202002","VA",25,"5.99","05-08","11-15","1","1","0","1",NULL,"0"
"202002","WA",25,"2.99","05-08","21-25","1","1","0","1",NULL,"0"
"202002","WA",25,"2.99","09-12","21-25","1","1","0","1",NULL,"0"
"202003","AR",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202003","AR",25,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","AZ",20,"2.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","AZ",20,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","AZ",20,"2.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","AZ",20,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","AZ",20,"3.99","09-12","16-20","3","0","0","0",NULL,"0"
"202003","AZ",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202003","AZ",25,"2.99","05-08","21-25","9","0","0","0",NULL,"0"
"202003","AZ",25,"2.99","09-12","21-25","6","0","0","0",NULL,"0"
"202003","AZ",25,"2.99","13+","21-25","5","0","0","0",NULL,"0"
"202003","AZ",25,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","AZ",25,"3.99","09-12","16-20","4","0","0","0",NULL,"0"
"202003","CA",10,"2.99","01-04","11-15","2","0","0","0",NULL,"0"
"202003","CA",10,"2.99","05-08","11-15","2","0","0","0",NULL,"0"
"202003","CA",10,"2.99","09-12","11-15","1","0","0","0",NULL,"0"
"202003","CA",10,"3.99","01-04","06-10","1","0","0","0",NULL,"0"
"202003","CA",12,"2.99","05-08","16-20","3","0","0","0",NULL,"0"
"202003","CA",20,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","CA",20,"2.99","05-08","21-25","5","0","0","0",NULL,"0"
"202003","CA",20,"2.99","13+","21-25","2","0","0","0",NULL,"0"
"202003","CA",20,"3.99","05-08","16-20","8","0","0","0",NULL,"0"
"202003","CA",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","CA",20,"4.49","05-08","16-20","1","0","0","0",NULL,"0"
"202003","CA",20,"4.99","01-04","06-10","3","0","0","0",NULL,"0"
"202003","CA",20,"4.99","01-04","11-15","1","0","0","0",NULL,"0"
"202003","CA",20,"4.99","05-08","06-10","8","0","0","0",NULL,"0"
"202003","CA",20,"4.99","09-12","06-10","2","0","0","0",NULL,"0"
"202003","CA",25,"2.99","01-04","21-25","4","0","0","0",NULL,"0"
"202003","CA",25,"2.99","05-08","21-25","13","0","0","0",NULL,"0"
"202003","CA",25,"3.99","05-08","16-20","3","0","0","0",NULL,"0"
"202003","CA",25,"3.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","CA",25,"6.99","01-04","06-10","2","0","0","0",NULL,"0"
"202003","CA",25,"6.99","05-08","06-10","1","0","0","0",NULL,"0"
"202003","CA",25,"6.99","09-12","06-10","1","0","0","0",NULL,"0"
"202003","CO",10,"2.99","01-04","11-15","1","0","0","0",NULL,"0"
"202003","CO",10,"2.99","05-08","11-15","1","0","0","0",NULL,"0"
"202003","CO",12,"2.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","CO",20,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","CO",20,"3.99","05-08","16-20","4","0","0","0",NULL,"0"
"202003","CO",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","CO",20,"4.99","09-12","11-15","1","0","0","0",NULL,"0"
"202003","CO",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","CO",25,"2.99","05-08","21-25","5","0","0","0",NULL,"0"
"202003","CO",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","CO",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202003","CO",25,"5.99","01-04","06-10","1","0","0","0",NULL,"0"
"202003","CO",25,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202003","CT",10,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","FL",10,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","FL",10,"2.99","13+","16-20","2","0","0","0",NULL,"0"
"202003","FL",20,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","FL",20,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","FL",20,"2.99","09-12","21-25","4","0","0","0",NULL,"0"
"202003","FL",20,"2.99","09-12","26+","1","0","0","0",NULL,"0"
"202003","FL",20,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202003","FL",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","FL",20,"3.99","09-12","16-20","7","0","0","0",NULL,"0"
"202003","FL",20,"3.99","09-12","26+","1","0","0","0",NULL,"0"
"202003","FL",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202003","FL",20,"4.49","09-12","16-20","1","0","0","0",NULL,"0"
"202003","FL",25,"2.99","01-04","21-25","3","0","0","0",NULL,"0"
"202003","FL",25,"2.99","05-08","21-25","6","0","0","0",NULL,"0"
"202003","FL",25,"2.99","09-12","21-25","10","0","0","0",NULL,"0"
"202003","FL",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202003","FL",25,"3.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","FL",25,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","FL",25,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202003","FL",25,"4.49","09-12","16-20","1","0","0","0",NULL,"0"
"202003","FL",25,"4.99","09-12","11-15","1","0","0","0",NULL,"0"
"202003","ID",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","ID",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","IL",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","IL",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","IL",25,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","IL",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","IN",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202003","IN",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","IN",20,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202003","KS",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","KS",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","MD",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","MD",20,"3.99","13+","16-20","2","0","0","0",NULL,"0"
"202003","MD",20,"4.99","09-12","06-10","1","0","0","0",NULL,"0"
"202003","MI",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202003","MI",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","MI",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","MI",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","MO",15,"3.49","05-08","16-20","1","0","0","0",NULL,"0"
"202003","MO",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","MO",25,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","NC",10,"2.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","NC",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","NC",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","NC",20,"5.99","01-04","06-10","1","0","0","0",NULL,"0"
"202003","NC",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202003","NC",25,"2.99","05-08","21-25","4","0","0","0",NULL,"0"
"202003","NC",25,"2.99","09-12","21-25","3","0","0","0",NULL,"0"
"202003","NC",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202003","NC",25,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","NJ",10,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","NJ",10,"2.99","09-12","11-15","1","0","0","0",NULL,"0"
"202003","NM",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","NM",20,"2.99","09-12","21-25","2","0","0","0",NULL,"0"
"202003","NM",20,"3.99","05-08","26+","1","0","0","0",NULL,"0"
"202003","NM",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","NM",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","NM",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","NV",20,"2.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","NV",20,"2.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","NV",20,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202003","NV",20,"2.99","05-08","26+","1","0","0","0",NULL,"0"
"202003","NV",20,"2.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","NV",20,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","NV",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","NV",20,"3.99","05-08","26+","1","0","0","0",NULL,"0"
"202003","NV",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","NV",20,"4.99","09-12","06-10","1","0","0","0",NULL,"0"
"202003","NV",20,"5.99","05-08","26+","1","0","0","0",NULL,"0"
"202003","NV",25,"2.99","01-04","21-25","3","0","0","0",NULL,"0"
"202003","NV",25,"2.99","05-08","21-25","12","0","0","0",NULL,"0"
"202003","NV",25,"2.99","09-12","21-25","4","0","0","0",NULL,"0"
"202003","NV",25,"2.99","13+","21-25","3","0","0","0",NULL,"0"
"202003","NV",25,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","NV",25,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","NY",10,"2.99","05-08","11-15","1","0","0","0",NULL,"0"
"202003","NY",15,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","OH",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","OH",20,"3.99","05-08","16-20","3","0","0","0",NULL,"0"
"202003","OR",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","OR",25,"2.99","05-08","21-25","3","0","0","0",NULL,"0"
"202003","OR",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","PA",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","PA",20,"3.99","13+","16-20","2","0","0","0",NULL,"0"
"202003","RI",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","SC",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202003","SC",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","SC",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","SC",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","TX",10,"2.99","05-08","11-15","1","0","0","0",NULL,"0"
"202003","TX",20,"2.99","01-04","16-20","1","0","0","0",NULL,"0"
"202003","TX",20,"2.99","01-04","21-25","4","0","0","0",NULL,"0"
"202003","TX",20,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","TX",20,"2.99","05-08","21-25","5","0","0","0",NULL,"0"
"202003","TX",20,"2.99","09-12","21-25","6","0","0","0",NULL,"0"
"202003","TX",20,"2.99","13+","16-20","1","0","0","0",NULL,"0"
"202003","TX",20,"2.99","13+","21-25","4","0","0","0",NULL,"0"
"202003","TX",20,"3.99","01-04","16-20","6","0","0","0",NULL,"0"
"202003","TX",20,"3.99","05-08","16-20","5","0","0","0",NULL,"0"
"202003","TX",20,"3.99","05-08","26+","1","0","0","0",NULL,"0"
"202003","TX",20,"3.99","09-12","16-20","3","0","0","0",NULL,"0"
"202003","TX",20,"3.99","13+","16-20","3","0","0","0",NULL,"0"
"202003","TX",20,"4.99","01-04","11-15","1","0","0","0",NULL,"0"
"202003","TX",25,"2.99","01-04","21-25","5","0","0","0",NULL,"0"
"202003","TX",25,"2.99","05-08","21-25","12","0","0","0",NULL,"0"
"202003","TX",25,"2.99","09-12","21-25","9","0","0","0",NULL,"0"
"202003","TX",25,"2.99","13+","21-25","5","0","0","0",NULL,"0"
"202003","TX",25,"3.99","05-08","16-20","4","0","0","0",NULL,"0"
"202003","TX",25,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","TX",25,"4.49","09-12","16-20","1","0","0","0",NULL,"0"
"202003","TX",25,"4.99","09-12","11-15","1","0","0","0",NULL,"0"
"202003","TX",25,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202003","UT",20,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202003","UT",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","UT",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202003","UT",25,"2.99","05-08","21-25","6","0","0","0",NULL,"0"
"202003","UT",25,"2.99","09-12","21-25","3","0","0","0",NULL,"0"
"202003","VA",10,"2.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","VA",12,"2.99","09-12","16-20","1","0","0","0",NULL,"0"
"202003","VA",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202003","VA",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202003","VA",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202003","VA",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202003","VA",25,"3.99","09-12","21-25","1","0","0","0",NULL,"0"
"202003","WA",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202003","WI",12,"3.49","01-04","16-20","1","0","0","0",NULL,"0"
"202003","WI",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202003","WY",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","AR",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","AR",25,"2.99","05-08","21-25","2","0","0","0",NULL,"0"
"202004","AR",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","AZ",10,"2.99","13+","11-15","1","0","0","0",NULL,"0"
"202004","AZ",15,"4.99","13+","11-15","1","1","0","1",NULL,"0"
"202004","AZ",20,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","AZ",20,"2.99","09-12","26+","1","0","0","0",NULL,"0"
"202004","AZ",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202004","AZ",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202004","AZ",20,"4.99","01-04","11-15","1","0","0","0",NULL,"0"
"202004","AZ",20,"4.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","AZ",20,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","AZ",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202004","AZ",25,"2.99","05-08","21-25","7","0","0","0",NULL,"0"
"202004","AZ",25,"2.99","09-12","21-25","9","0","0","0",NULL,"0"
"202004","AZ",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202004","AZ",25,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","AZ",25,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202004","CA",10,"2.99","01-04","11-15","2","0","0","0",NULL,"0"
"202004","CA",10,"2.99","05-08","11-15","1","0","0","0",NULL,"0"
"202004","CA",10,"2.99","09-12","16-20","1","0","0","0",NULL,"0"
"202004","CA",20,"2.99","05-08","21-25","6","0","0","0",NULL,"0"
"202004","CA",20,"2.99","09-12","21-25","2","0","0","0",NULL,"0"
"202004","CA",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202004","CA",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","CA",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202004","CA",20,"4.99","09-12","06-10","2","0","0","0",NULL,"0"
"202004","CA",20,"4.99","09-12","11-15","1","0","0","0",NULL,"0"
"202004","CA",20,"4.99","13+","06-10","1","0","0","0",NULL,"0"
"202004","CA",20,"4.99","13+","11-15","1","0","0","0",NULL,"0"
"202004","CA",20,"5.99","01-04","06-10","1","0","0","0",NULL,"0"
"202004","CA",20,"5.99","09-12","06-10","1","0","0","0",NULL,"0"
"202004","CA",20,"5.99","13+","06-10","1","0","0","0",NULL,"0"
"202004","CA",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202004","CA",25,"2.99","05-08","21-25","8","0","0","0",NULL,"0"
"202004","CA",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","CA",25,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","CA",25,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","CA",25,"3.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","CO",10,"2.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","CO",20,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202004","CO",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202004","CO",20,"3.99","05-08","16-20","4","0","0","0",NULL,"0"
"202004","CO",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202004","CO",25,"2.99","01-04","21-25","3","0","0","0",NULL,"0"
"202004","CO",25,"2.99","05-08","21-25","5","0","0","0",NULL,"0"
"202004","CO",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","CT",20,"3.99","13+","16-20","2","0","0","0",NULL,"0"
"202004","DE",20,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202004","FL",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","FL",20,"2.99","09-12","21-25","4","0","0","0",NULL,"0"
"202004","FL",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202004","FL",20,"3.99","05-08","26+","1","0","0","0",NULL,"0"
"202004","FL",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202004","FL",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202004","FL",20,"4.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","FL",20,"4.99","09-12","06-10","1","0","0","0",NULL,"0"
"202004","FL",20,"5.99","05-08","11-15","1","0","0","0",NULL,"0"
"202004","FL",25,"2.99","05-08","21-25","7","0","0","0",NULL,"0"
"202004","FL",25,"2.99","09-12","21-25","9","0","0","0",NULL,"0"
"202004","FL",25,"2.99","13+","21-25","3","0","0","0",NULL,"0"
"202004","FL",25,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202004","FL",25,"3.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","FL",25,"4.49","05-08","16-20","1","0","0","0",NULL,"0"
"202004","HI",20,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","IA",20,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","ID",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","ID",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","ID",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","IL",20,"2.99","09-12","26+","1","0","0","0",NULL,"0"
"202004","IL",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","IL",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202004","IL",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","IL",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","MA",20,"5.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","MA",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202004","MD",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","MD",25,"4.49","13+","16-20","1","0","0","0",NULL,"0"
"202004","MI",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","MI",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","MO",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","MO",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","NC",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202004","NC",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202004","NC",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202004","NC",25,"2.99","05-08","21-25","3","0","0","0",NULL,"0"
"202004","NC",25,"2.99","09-12","21-25","2","0","0","0",NULL,"0"
"202004","NC",25,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202004","NJ",10,"2.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","NM",20,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","NM",20,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","NM",20,"3.99","01-04","16-20","3","0","0","0",NULL,"0"
"202004","NM",20,"4.99","05-08","06-10","1","0","0","0",NULL,"0"
"202004","NM",20,"4.99","09-12","06-10","1","0","0","0",NULL,"0"
"202004","NM",25,"2.99","01-04","21-25","2","0","0","0",NULL,"0"
"202004","NM",25,"2.99","05-08","21-25","3","0","0","0",NULL,"0"
"202004","NV",10,"2.99","13+","11-15","1","0","0","0",NULL,"0"
"202004","NV",20,"4.99","09-12","06-10","1","0","0","0",NULL,"0"
"202004","NV",25,"2.99","01-04","21-25","4","0","0","0",NULL,"0"
"202004","NV",25,"2.99","05-08","21-25","12","0","0","0",NULL,"0"
"202004","NV",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","NV",25,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202004","NV",25,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","NV",25,"3.99","09-12","16-20","1","0","0","0",NULL,"0"
"202004","NV",25,"4.49","09-12","16-20","1","0","0","0",NULL,"0"
"202004","OH",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","OH",20,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","OH",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","OK",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","OR",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","OR",25,"2.99","09-12","21-25","3","0","0","0",NULL,"0"
"202004","RI",15,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","RI",25,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","RI",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","SC",20,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","SC",20,"3.99","05-08","16-20","2","0","0","0",NULL,"0"
"202004","SC",20,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202004","SC",25,"2.99","05-08","21-25","1","0","0","0",NULL,"0"
"202004","SC",25,"2.99","09-12","21-25","1","0","0","0",NULL,"0"
"202004","TX",15,"3.49","09-12","16-20","1","0","0","0",NULL,"0"
"202004","TX",15,"3.99","05-08","16-20","1","0","0","0",NULL,"0"
"202004","TX",20,"2.99","01-04","21-25","1","0","0","0",NULL,"0"
"202004","TX",20,"2.99","05-08","21-25","4","0","0","0",NULL,"0"
"202004","TX",20,"2.99","09-12","21-25","5","0","0","0",NULL,"0"
"202004","TX",20,"2.99","09-12","26+","1","0","0","0",NULL,"0"
"202004","TX",20,"2.99","13+","21-25","1","0","0","0",NULL,"0"
"202004","TX",20,"3.99","01-04","16-20","2","0","0","0",NULL,"0"
"202004","TX",20,"3.99","05-08","16-20","5","0","0","0",NULL,"0"
"202004","TX",20,"3.99","09-12","16-20","4","0","0","0",NULL,"0"
"202004","TX",20,"3.99","13+","16-20","1","0","0","0",NULL,"0"
"202004","TX",25,"2.99","01-04","21-25","7","0","0","0",NULL,"0"
"202004","TX",25,"2.99","05-08","21-25","12","0","0","0",NULL,"0"
"202004","TX",25,"2.99","09-12","21-25","14","0","0","0",NULL,"0"
"202004","TX",25,"2.99","13+","21-25","4","0","0","0",NULL,"0"
"202004","TX",25,"3.99","01-04","16-20","1","0","0","0",NULL,"0"
"202004","TX",25,"3.99","09-12","16-20","2","0","0","0",NULL,"0"
"202004","TX",25,"3.99","09-12","21-25","1","0","0","0",NULL,"0"
